,Authors,Normalised Authors,Author Gender,Author Nationality,Author Birth,Author Death,Author Info Source,Author Info Found
136,"Wood, Henry, Mrs.","Henry, Wood",female,,1849.0,1925.0,OpenLibrary,True
195,"Sheldon, Georgie, Mrs.","Georgie, Sheldon",female,,,,OpenLibrary,True
350,"Stead, Robert J. C.",Robert J. C. Stead,,Canadian,1880.0,1959.0,Wikipedia,True
370,"Phillips, Henry Wallace",Henry Wallace Phillips,male,,1869.0,1930.0,"OpenLibrary, Wikidata",True
389,"Molesworth, Mrs.",Molesworth,female,,,,OpenLibrary,True
416," Hornblow, Arthur",Arthur Hornblow,,,1865.0,1942.0,OpenLibrary,True
444,"Gregory, Lady",Gregory,female,,1954.0,,OpenLibrary,True
462,"Hueston, Ethel",Ethel Hueston,,,1887.0,,OpenLibrary,True
482,"Trevena, John",John Trevena,male,,1870.0,1946.0,"OpenLibrary, Wikidata",True
488,"Kauffman, Reginald Wright",Reginald Wright Kauffman,male,,1877.0,1959.0,"OpenLibrary, Wikidata",True
553,"Van Schaick, George",George Van Schaick,male,,1861.0,1924.0,"OpenLibrary, Wikidata",True
564,"Knibbs, Henry Herbert",Henry Herbert Knibbs,male,,1874.0,1945.0,"OpenLibrary, Wikidata",True
566,"Lloyd, Nelson",Nelson Lloyd,male,,1873.0,1933.0,"OpenLibrary, Wikidata",True
572,"Laut, Agnes C.",Agnes C. Laut,,Canadian,1871.0,1936.0,"Wikipedia, OpenLibrary",True
580,"Brooks, Charles S. (Charles Stephen)",Charles Stephen Brooks,,,1878.0,1934.0,OpenLibrary,True
584,"Fitzgerald, Percy",Percy Fitzgerald,,,1834.0,1925.0,OpenLibrary,True
586,"Knowles, Robert E. (Robert Edward)",Robert Edward Knowles,male,,1868.0,1946.0,"OpenLibrary, Wikidata",True
603,"Litsey, Edwin Carlile",Edwin Carlile Litsey,,,1874.0,1970.0,OpenLibrary,True
604,"Munn, Charles Clark",Charles Clark Munn,male,,1848.0,1917.0,"OpenLibrary, Wikidata",True
619,"Gallizier, Nathan",Nathan Gallizier,male,,1866.0,1927.0,"OpenLibrary, Wikidata",True
620,"Sharber, Kate Trimble",Kate Trimble Sharber,,,1883.0,,OpenLibrary,True
624,"Pocock, Roger",Roger Pocock,male,,1865.0,1941.0,"OpenLibrary, Wikidata",True
630,"Ross, Ronald, Sir","Ronald, Ross",male,,,,OpenLibrary,True
636,"Magnay, William, Sir","William, Magnay",male,,1855.0,1917.0,OpenLibrary,True
640,"Clay, Bertha M.",Bertha M. Clay,,,1836.0,1884.0,OpenLibrary,True
675,"Hutchinson, A. S. M. (Arthur Stuart-Menteth)",Arthur Stuart-Menteth Hutchinson,male,,1880.0,1971.0,"OpenLibrary, Wikidata",True
684,"De Vere, Aubrey",Aubrey De Vere,male,,1814.0,1902.0,"OpenLibrary, Wikidata",True
691,"Ollivant, Alfred",Alfred Ollivant,male,,1874.0,1927.0,"OpenLibrary, Wikidata",True
702,"Durning-Lawrence, Edwin, Sir","Edwin, Durning-Lawrence",male,,,,OpenLibrary,True
707,"Copplestone, Bennet",Bennet Copplestone,male,,1867.0,1932.0,"OpenLibrary, Wikidata",True
719,"O'Brien, Seumas",Seumas O'Brien,,Irish,1880.0,,OpenLibrary,True
751,"Kendall, Ralph S. (Ralph Selwood)",Ralph Selwood Kendall,,,1878.0,,OpenLibrary,True
757,"Thurston, E. Temple (Ernest Temple)",Ernest Temple Thurston,,British,1879.0,1933.0,Wikipedia,True
767,"Gunnison, Charles A.",Charles A. Gunnison,male,,1861.0,1897.0,"OpenLibrary, Wikidata",True
781,"Thomson, Edward William",Edward William Thomson,male,,1849.0,1924.0,OpenLibrary,True
786,"Walk, Charles Edmonds",Charles Edmonds Walk,,,1875.0,,OpenLibrary,True
824,"Maher, Richard Aumerle",Richard Aumerle Maher,male,,1880.0,1959.0,OpenLibrary,True
856,A. L. O. E.,A. L. O. E.,female,,1821.0,1893.0,OpenLibrary,True
862,"Daggett, Mary Stewart",Mary Stewart Daggett,female,,1856.0,1922.0,"OpenLibrary, Wikidata",True
866,"Mills, Weymer Jay",Weymer Jay Mills,,,1880.0,1938.0,OpenLibrary,True
876,"Kiser, Samuel E. (Samuel Ellsworth)",Samuel Ellsworth Kiser,male,,1862.0,1942.0,"OpenLibrary, Wikidata",True
